City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Xuddur,SO,85.62,overcast clouds,4.1213,43.8894,Banjanay Hotel
5,Shingu,JP,76.01,broken clouds,33.7333,135.9833,Shingu UI Hotel
6,Pachino,IT,81.25,scattered clouds,36.7186,15.0907,Il Veliero
21,Hithadhoo,MV,81.86,few clouds,-0.6,73.0833,Scoop Guest House
31,Djambala,CG,78.24,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
34,Namibe,AO,75.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
35,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
37,Morant Bay,JM,89.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
38,Rosh Pinna,IL,79.74,clear sky,32.9689,35.5426,Spa Hotel Mizpe Hayamim
41,Hilo,US,75.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
42,Saint George,US,88.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
48,Yanam,IN,75.76,moderate rain,16.7333,82.2167,The Regency Hotel
52,Cidreira,BR,80.37,overcast clouds,-30.1811,-50.2056,Hotel Castelo
54,Sakaiminato,JP,76.98,broken clouds,35.55,133.2333,Italian pasley
59,Bengkulu,ID,76.75,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
63,Asilah,MA,78.76,few clouds,35.465,-6.0348,Hotel Zelis
65,Touros,BR,82.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
66,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Tagusao,PH,79.48,overcast clouds,9.1924,117.8141,Caycay future beach resort
69,Bubaque,GW,78.53,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
71,San Patricio,US,88.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
73,Bethel,US,79.18,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
74,Tayu,ID,78.24,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
75,Teacapan,MX,86.02,overcast clouds,22.55,-105.75,Hotel los Mangos
76,Lucapa,AO,81.5,scattered clouds,-8.4192,20.7447,Lírio Mendes
79,Muisne,EC,78.93,overcast clouds,0.6,-80.0333,Quinta Samay
83,Omboue,GA,77.36,broken clouds,-1.5746,9.2618,Hotel Olako
84,Jamestown,US,78.03,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Dhidhdhoo,MV,80.44,scattered clouds,6.8833,73.1,Dhidhoo beach
88,Port Blair,IN,81.63,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
90,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
92,San Cristobal,VE,86.18,broken clouds,7.7669,-72.225,Pirineos
103,Lata,PT,82.92,few clouds,40.1629,-8.3327,Casa Maquia
108,Atuona,PF,75.22,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
120,Roma,US,80.08,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
123,Ponta Delgada,PT,80.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
134,Victoria,HK,85.32,few clouds,22.2855,114.1577,Mini Central
135,Ponta Do Sol,PT,80.13,scattered clouds,32.6667,-17.1,Hotel do Campo
136,Kahului,US,76.84,moderate rain,20.8947,-156.47,Maui Seaside Hotel
137,Savannah Bight,HN,83.16,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
143,Lorengau,PG,81.03,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
152,Patiya,BD,82.35,light rain,22.2931,91.9762,Sorry
160,Lincoln,US,79.29,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
163,Palmer,US,78.57,few clouds,42.1584,-72.3287,Wedgewood Motel
165,Gonda,IN,83.71,broken clouds,27.1333,81.9333,Capital O 41566 Golden Fairy Resort
168,Carballo,ES,76.42,broken clouds,43.213,-8.691,Pazo do Souto
169,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
176,Carupano,VE,88.27,few clouds,10.6678,-63.2585,Hotel La dorada
178,Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
183,Ormara,PK,83.05,few clouds,25.2088,64.6357,Kenara Colony House for Rent
187,Butaritari,KI,81.45,light rain,3.0707,172.7902,Isles Sunset Lodge
188,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
189,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
191,Nantucket,US,77.11,clear sky,41.2835,-70.0995,Jared Coffin House
192,Galle,LK,78.58,overcast clouds,6.0367,80.217,Amangalla
196,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
198,Kavieng,PG,81.72,broken clouds,-2.5744,150.7967,Nusa Island Retreat
200,Tual,ID,80.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
205,Wanning,CN,80.06,broken clouds,18.8003,110.3967,Paradise Hotel
209,Havelock,US,84.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
213,Bandarbeyla,SO,77.23,broken clouds,9.4942,50.8122,JABIR HOTEL
224,Madang,PG,76.23,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
225,Tevaitoa,PF,77.99,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
229,Kudahuvadhoo,MV,82.58,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
230,Maracaibo,VE,89.37,broken clouds,10.6317,-71.6406,Motel Aladdin
236,Baikunthpur,IN,75.9,overcast clouds,23.25,82.55,Hotel Shree Annapurna
237,Lepe,ES,86.2,scattered clouds,37.2548,-7.2043,Hotel La Barca
