City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kirkuk,IQ,35.4681,44.3922,93.92,16,0,7.2,clear sky
1,Rikitea,PF,-23.1203,-134.9692,72.21,65,25,21.72,scattered clouds
2,Xuddur,SO,4.1213,43.8894,85.62,35,99,14.5,overcast clouds
3,Codrington,AU,-38.2667,141.9667,51.21,84,96,20.45,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,59.81,78,0,3.6,clear sky
5,Shingu,JP,33.7333,135.9833,76.01,91,77,4.45,broken clouds
6,Pachino,IT,36.7186,15.0907,81.25,79,25,14.16,scattered clouds
7,Vaini,TO,-21.2,-175.2,73.56,94,75,5.75,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,65.17,88,20,1.01,few clouds
9,Hobart,AU,-42.8794,147.3294,56.05,94,100,0.0,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,47.86,66,40,18.41,scattered clouds
11,Bluff,NZ,-46.6,168.3333,43.5,83,90,6.33,overcast clouds
12,Aklavik,CA,68.2191,-135.0107,44.33,78,100,8.25,overcast clouds
13,Victor Harbor,AU,-35.5667,138.6167,55.0,81,44,11.07,scattered clouds
14,New Norfolk,AU,-42.7826,147.0587,55.71,79,100,2.55,light rain
15,Saldanha,ZA,-33.0117,17.9442,62.65,92,0,16.75,clear sky
16,Zhezkazgan,KZ,47.8043,67.7144,64.81,26,71,5.08,broken clouds
17,Nikolskoye,RU,59.7035,30.7861,51.69,71,19,3.29,few clouds
18,Carnarvon,AU,-24.8667,113.6333,64.69,72,15,15.08,few clouds
19,Yasnyy,RU,51.0333,59.8742,53.92,37,100,4.12,overcast clouds
20,Saskylakh,RU,71.9167,114.0833,40.28,98,100,6.38,light rain
21,Hithadhoo,MV,-0.6,73.0833,81.86,71,20,10.11,few clouds
22,Bredasdorp,ZA,-34.5322,20.0403,53.13,80,1,3.85,clear sky
23,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,5.75,light intensity drizzle rain
24,Ljungby,SE,56.8332,13.9408,55.81,94,100,11.9,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,67.1,86,20,8.05,few clouds
26,Punta Arenas,CL,-53.15,-70.9167,51.91,50,20,40.29,few clouds
27,Provideniya,RU,64.3833,-173.3,42.64,83,5,7.29,clear sky
28,Kaitangata,NZ,-46.2817,169.8464,37.04,96,22,3.76,few clouds
29,Goryachiy Klyuch,RU,44.6308,39.13,64.02,42,37,2.62,scattered clouds
30,La Ronge,CA,55.1001,-105.2842,48.45,66,100,17.27,overcast clouds
31,Djambala,CG,-2.5447,14.7533,78.24,61,99,4.43,overcast clouds
32,Mataura,NZ,-46.1927,168.8643,37.94,98,86,2.59,overcast clouds
33,Qaanaaq,GL,77.484,-69.3632,34.72,55,3,4.23,clear sky
